Name,Lat,Long,WHO Region,Cases - cumulative total,Cases - cumulative total per 100000 population,Cases - newly reported in last 7 days,Cases - newly reported in last 7 days per 100000 population,Cases - newly reported in last 24 hours,Deaths - cumulative total,Deaths - cumulative total per 100000 population,Deaths - newly reported in last 7 days,Deaths - newly reported in last 7 days per 100000 population,Deaths - newly reported in last 24 hours
United States of America,38,-97,Americas,76649746,23156.837,1535102,463.773,201679,905957,273.701,17239,5.208,3768
India,20,77,South-East Asia,42536137,3082.319,583425,42.277,58077,507177,36.752,7122,0.516,657
Brazil,-10,-55,Americas,26955434,12681.364,1162322,546.822,178814,635074,298.775,6114,2.876,1264
France,46,2,Europe,20772543,31938.419,1184984,1821.949,153009,131355,201.962,2365,3.636,370
United Kingdom,54,-2,Europe,18162203,26753.973,463541,682.823,66638,159158,234.449,1429,2.105,206
Russian Federation,60,100,Europe,13731794,9409.562,1279029,876.441,203949,338813,232.168,4774,3.271,722
Turkey,39,35,Europe,12652385,15001.808,712581,844.9,98602,89741,106.405,1677,1.988,264
Germany,51,9,Europe,12009712,14440.528,1338110,1608.949,240172,119679,143.903,1175,1.413,226
Italy,42.8333,12.8333,Europe,11923631,19992.176,574930,963.977,76195,150221,251.873,2487,4.17,325
Spain,40,-4,Europe,10555196,22300.049,267882,565.956,23305,95606,201.988,760,1.606,25
Argentina,-34,-64,Americas,8700437,19250.554,185152,409.667,52362,123707,273.714,1555,3.441,480
Iran (Islamic Republic of),32,53,Eastern Mediterranean,6730508,8013.182,246709,293.726,33581,133294,158.697,670,0.798,130
Colombia,4,-72,Americas,5994301,11780.583,77476,152.263,8785,136404,268.074,1623,3.19,207
Netherlands,52.5,5.75,Europe,5523354,31729.582,850501,4885.807,86862,21358,122.694,56,0.322,15
Poland,52,20,Europe,5348182,14089.685,264962,698.037,35768,107757,283.884,1451,3.823,291
Mexico,23,-102,Americas,5192008,4026.912,57683,44.739,24898,310627,240.922,1455,1.128,743
Indonesia,-5,120,South-East Asia,4708043,1721.256,261349,95.549,40489,144958,52.997,505,0.185,100
Ukraine,49,32,Europe,4462970,10204.863,249295,570.029,41229,102403,234.151,1420,3.247,236
Japan,36,138,Western Pacific,3666285,2898.788,658809,520.895,100097,19917,15.748,878,0.694,175
South Africa,-29,24,Africa,3634811,6128.631,18736,31.591,3169,96705,163.054,1160,1.956,203
Philippines,13,122,Western Pacific,3627575,3310.403,42114,38.432,4575,54783,49.993,615,0.561,93
Belgium,50.8333,4,Europe,3405839,29558.314,99751,865.711,15,29563,256.569,270,2.343,13
Peru,-10,-76,Americas,3397637,10304.659,111486,338.125,13091,207536,629.434,1316,3.991,224
Israel,31.5,34.75,Europe,3361859,38840.542,271658,3138.544,27723,9429,108.936,285,3.293,25
Canada,60,-95,Americas,3160017,8372.646,78017,206.711,11139,35118,93.047,906,2.4,149
Portugal,39.5,-8,Europe,3025421,29384.691,229591,2229.925,27651,20401,198.147,324,3.147,47
Malaysia,2.5,112.5,Western Pacific,2975422,9193.049,87642,270.784,19090,32075,99.101,75,0.232,10
Thailand,15,100,South-East Asia,2561115,3669.22,85483,122.469,15242,22387,32.073,137,0.196,23
Romania,46,25,Europe,2508860,12979.88,183844,951.138,26466,61231,316.786,878,4.542,139
Switzerland,47,8,Europe,2505095,28945.183,134165,1550.213,88,12447,143.819,53,0.612,0
Chile,-30,-71,Americas,2504168,13099.716,246163,1287.719,38070,40273,210.675,449,2.349,162
Australia,-27,133,Western Pacific,2462729,9657.805,175919,689.882,29451,4431,17.377,442,1.733,65
Viet Nam,16,106,Western Pacific,2430683,2497.142,126588,130.049,26032,38688,39.746,625,0.642,74
Sweden,62,15,Europe,2389605,23138.072,128859,1247.716,15490,16395,158.75,94,0.91,1
Iraq,33,44,Eastern Mediterranean,2267745,5638.002,34020,84.58,4220,24626,61.224,171,0.425,26
Austria,47.3333,13.3333,Europe,2200664,24723.606,231701,2603.071,36525,13791,154.937,120,1.348,18
Denmark,56,10,Europe,2196556,37723.603,309395,5313.543,53747,3977,68.301,166,2.851,29
Greece,39,22,Europe,2129153,19864.161,126947,1184.366,19154,24507,228.641,674,6.288,97
Bangladesh,24,90,South-East Asia,1899803,1153.567,54975,33.381,5268,28771,17.47,247,0.15,27
Serbia,44,21,Europe,1817207,26234.797,86721,1251.981,11121,14234,205.495,427,6.165,63
Hungary,47,20,Europe,1695991,17360.013,79145,810.121,11559,42360,433.593,619,6.336,91
Pakistan,30,70,Eastern Mediterranean,1474075,667.327,31789,14.391,3914,29648,13.422,276,0.125,47
Georgia,42,43.5,Europe,1418027,35546.874,145656,3651.281,19968,15459,387.524,318,7.972,55
Jordan,31,36,Eastern Mediterranean,1417890,13896.613,137784,1350.409,21460,13431,131.636,160,1.568,22
Kazakhstan,48,68,Europe,1373047,7312.502,25864,137.745,2581,18736,99.783,136,0.724,20
Ireland,53,-8,Europe,1236188,24900.855,36971,744.716,5649,6291,126.721,63,1.269,0
Slovakia,48.6667,19.5,Europe,1207053,22115.813,125124,2292.541,20051,18064,330.971,143,2.62,24
Morocco,32,-5,Eastern Mediterranean,1151081,3118.568,9373,25.394,0,15698,42.53,183,0.496,0
Cuba,21.5,-80,Americas,1057797,9339.038,8391,74.082,1870,8454,74.638,34,0.3,4
Bulgaria,43,25,Europe,1025129,14746.913,44727,643.417,6278,34228,492.384,640,9.207,76
Croatia,45.1667,15.5,Europe,1004804,24760.058,41434,1021.003,6341,14329,353.091,340,8.378,48
Lebanon,33.8333,35.8333,Eastern Mediterranean,993095,14549.894,44367,650.024,0,9769,143.126,112,1.641,0
Norway,62,10,Europe,982643,18307.002,132710,2472.436,20974,1513,28.188,47,0.876,1
Nepal,28,84,South-East Asia,972141,3336.47,8022,27.532,666,11878,40.766,84,0.288,14
Tunisia,34,9,Eastern Mediterranean,954726,8078.152,24636,208.451,0,26889,227.514,393,3.325,0
Bolivia,-17,-65,Americas,878922,7529.516,15247,130.617,1783,21219,181.778,174,1.491,20
Mongolia,46,105,Western Pacific,875440,26704.166,20361,621.086,10876,2065,62.99,20,0.61,3
United Arab Emirates,24,54,Eastern Mediterranean,864102,8736.773,12565,127.042,1588,2278,23.032,25,0.253,5
Slovenia,46,15,Europe,828508,39530.675,64832,3093.335,12126,6522,311.185,44,2.099,1
Belarus,53,28,Europe,805651,8526.02,52156,551.955,8463,6204,65.656,105,1.111,14
Lithuania,56,24,Europe,797492,28542.101,70323,2516.848,9940,8062,288.538,110,3.937,16
Ecuador,-2,-77.5,Americas,781470,4429.335,42173,239.035,3871,34854,197.551,282,1.598,50
Uruguay,-33,-56,Americas,749554,21577.785,59058,1700.132,8100,6696,192.761,156,4.491,20
Costa Rica,10,-84,Americas,745949,14643.34,37389,733.964,6105,7730,151.744,125,2.454,18
Panama,9,-80,Americas,735235,17039.97,23544,545.661,3028,7898,183.046,125,2.897,12
Azerbaijan,40.5,47.5,Europe,725777,7158.146,49351,486.736,7632,8972,88.488,175,1.726,24
Saudi Arabia,25,45,Eastern Mediterranean,722002,2073.892,22933,65.873,2866,8965,25.751,18,0.052,3
Guatemala,15.5,-90.25,Americas,720802,4023.328,22417,125.126,4720,16542,92.333,121,0.675,15
Sri Lanka,7,81,South-East Asia,624545,2916.629,8643,40.363,0,15723,73.427,179,0.836,0
Paraguay,-23,-58,Americas,615911,8635.229,21481,301.169,3018,17751,248.874,325,4.557,47
Kuwait,29.3375,47.6581,Eastern Mediterranean,593889,13906.548,29154,682.672,3324,2517,58.938,14,0.328,3
Finland,64,26,Europe,569973,10315.708,35625,644.762,2829,2170,39.274,2,0.036,0
Dominican Republic,19,-70.6667,Americas,567085,5227.597,8149,75.12,1223,4339,39.998,24,0.221,3
Myanmar,22,98,South-East Asia,541904,995.968,4681,8.603,0,19310,35.49,0,0,0
Venezuela (Bolivarian Republic of),8,-66,Americas,500545,1760.255,11240,39.527,1008,5511,19.38,49,0.172,7
Latvia,57,25,Europe,488329,25598.123,66096,3464.741,11599,4987,261.418,64,3.355,9
Republic of Moldova,47,29,Europe,480289,11906.133,19982,495.344,2870,10893,270.032,159,3.942,27
Ethiopia,8,38,Africa,467153,406.349,1027,0.893,152,7407,6.443,54,0.047,10
Puerto Rico,18.25,-66.5,Americas,466878,16319.538,5868,205.114,1069,3994,139.609,86,3.006,10
Libya,25,17,Eastern Mediterranean,463321,6742.851,21362,310.888,3773,6107,88.877,63,0.917,11
Egypt,27,30,Eastern Mediterranean,446308,436.127,13547,13.238,0,23110,22.583,330,0.322,0
Bahrain,26,50.55,Eastern Mediterranean,441825,25965.649,43160,2536.474,0,1418,83.335,8,0.47,0
Singapore,1.3667,103.8,Western Pacific,439640,7514.774,73167,1250.645,10686,882,15.076,22,0.376,1
Estonia,59,26,Europe,410210,30866.622,44121,3319.925,5109,2100,158.016,47,3.537,5
Honduras,15,-86.5,Americas,403141,4070.237,4864,49.108,812,10587,106.89,36,0.363,28
Armenia,40,45,Europe,402403,13579.859,18945,639.335,2676,8145,274.869,70,2.362,31
Bosnia and Herzegovina,44,18,Europe,361189,11009.124,8052,245.427,1313,14938,455.314,335,10.211,41
Oman,21,57,Eastern Mediterranean,360999,7069.227,14958,292.914,1743,4195,82.148,37,0.725,5
Qatar,25.5,51.25,Eastern Mediterranean,348924,12110.989,6113,212.179,783,655,22.735,4,0.139,2
Kenya,1,38,Africa,322334,599.454,570,1.06,60,5626,10.463,22,0.041,4
Zambia,-15,30,Africa,308556,1678.398,2209,12.016,506,3935,21.405,10,0.054,1
Cyprus,35,33,Europe,283458,31920.766,17513,1972.174,2815,776,87.387,26,2.928,1
Albania,41,20,Europe,267020,9278.616,4779,166.064,604,3402,118.215,33,1.147,3
Algeria,28,3,Africa,260191,593.352,4355,9.931,518,6690,15.256,72,0.164,12
Botswana,-22,24,Africa,259655,11041.504,3614,153.681,2488,2597,110.434,12,0.51,4
Nigeria,10,8,Africa,253875,123.157,470,0.228,0,3139,1.523,3,0.001,0
Uzbekistan,41,64,Europe,232496,694.657,5499,16.43,625,1597,4.772,18,0.054,2
Zimbabwe,-20,30,Africa,231040,1554.472,870,5.853,160,5373,36.15,16,0.108,6
Montenegro,42,19,Europe,225248,35863.975,3279,522.082,444,2622,417.475,40,6.369,9
Mozambique,-18.25,35,Africa,224559,718.464,416,1.331,65,2188,7,8,0.026,2
Kyrgyzstan,41,75,Europe,199890,3063.828,726,11.128,69,2920,44.757,24,0.368,3
Luxembourg,49.75,6.1667,Europe,172502,27551.477,8522,1361.107,1050,968,154.606,12,1.917,2
Afghanistan,33,65,Eastern Mediterranean,169448,435.282,4721,12.127,898,7477,19.207,57,0.146,12
Uganda,1,32,Africa,162639,355.565,436,0.953,80,3575,7.816,21,0.046,3
Ghana,8,-2,Africa,157751,507.68,531,1.709,0,1419,4.567,15,0.048,0
Namibia,-22,17,Africa,156563,6161.702,461,18.143,81,3988,156.952,15,0.59,6
Maldives,3.25,73,South-East Asia,155917,28844.46,8926,1651.299,0,287,53.095,7,1.295,0
China,35,105,Western Pacific,145013,9.856,5122,0.348,1170,5703,0.388,3,0,1
Lao People's Democratic Republic,18,105,Western Pacific,138007,1896.857,2706,37.193,450,584,8.027,26,0.357,1
El Salvador,13.8333,-88.9167,Americas,135109,2083.021,0,0,0,3975,61.284,54,0.833,8
Rwanda,-2,30,Africa,129234,997.775,195,1.506,24,1449,11.187,5,0.039,0
Jamaica,18.25,-77.5,Americas,126589,4274.97,1339,45.219,152,2708,91.45,31,1.047,2
Cambodia,13,105,Western Pacific,122468,732.509,984,5.886,262,3015,18.033,0,0,0
Cameroon,6,12,Africa,118675,447.056,999,3.763,999,1915,7.214,8,0.03,8
Trinidad and Tobago,11,-61,Americas,117525,8397.714,4208,300.681,756,3495,249.734,62,4.43,9
Guadeloupe,16.25,-61.5833,Americas,112668,28158.271,0,0,0,873,218.182,0,0,0
Martinique,14.6667,-61,Americas,102746,27379.585,8487,2261.602,0,856,228.105,14,3.731,0
Angola,-12.5,18.5,Africa,98474,299.62,155,0.472,21,1897,5.772,1,0.003,1
Iceland,65,-18,Europe,85980,23612.187,12845,3527.548,2038,54,14.83,5,1.373,2
Democratic Republic of the Congo,0,25,Africa,85776,95.773,176,0.197,33,1316,1.469,38,0.042,0
Senegal,14,-14,Africa,85308,509.486,191,1.141,26,1956,11.682,6,0.036,0
Malawi,-13.5,34,Africa,84936,443.995,243,1.27,21,2586,13.518,21,0.11,6
French Guiana,4,-53,Americas,76893,25744.102,494,165.393,0,383,128.23,2,0.67,0
Suriname,4,-56,Americas,76498,13040.202,2028,345.702,259,1291,220.07,20,3.409,3
Mauritius,-20.2833,57.55,Africa,70862,5571.928,0,0,0,786,61.804,0,0,0
Malta,35.8333,14.5833,Europe,69648,13535.343,1218,236.705,118,576,111.939,17,3.304,4
Fiji,-18,175,Western Pacific,63398,7072.157,192,21.418,0,816,91.026,7,0.781,0
Guyana,5,-59,Americas,61901,7869.918,1516,192.74,167,1188,151.039,12,1.526,3
Madagascar,-20,47,Africa,61434,221.855,2115,7.638,0,1307,4.72,33,0.119,0
Sudan,15,30,Eastern Mediterranean,59525,135.749,473,1.079,70,3764,8.584,161,0.367,0
Mauritania,20,-12,Africa,58542,1259.06,161,3.463,15,971,20.883,9,0.194,0
Belize,17.25,-88.75,Americas,54758,13771.163,1983,498.707,242,631,158.691,2,0.503,0
French Polynesia,-15,-140,Western Pacific,53853,19171.045,4332,1542.142,2130,637,226.765,1,0.356,1
Syrian Arab Republic,35,38,Eastern Mediterranean,52243,298.52,587,3.354,0,3017,17.239,19,0.109,0
Barbados,13.1667,-59.5333,Americas,49958,17384.254,4061,1413.136,586,289,100.565,7,2.436,1
Gabon,-1,11.75,Africa,47399,2129.59,251,11.277,0,302,13.569,1,0.045,0
Seychelles,-4.5833,55.6667,Africa,38395,39040.337,620,630.421,102,150,152.521,3,3.05,0
Papua New Guinea,-6,147,Western Pacific,38222,427.204,832,9.299,0,610,6.818,13,0.145,0
Burundi,-3.5,30,Africa,37856,318.364,238,2.002,40,15,0.126,0,0,0
Andorra,42.5,1.6,Europe,37074,47982.916,604,781.725,85,148,191.549,1,1.294,0
Togo,8,1.1667,Africa,36630,442.459,80,0.966,18,270,3.261,2,0.024,0
Mayotte,-12.8333,45.1667,Africa,36572,13405.421,98,35.922,16,187,68.545,0,0,0
Guinea,11,-10,Africa,36314,276.514,108,0.822,17,434,3.305,8,0.061,2
New Caledonia,-21.5,165.5,Western Pacific,34132,11955.25,9505,3329.27,1101,284,99.475,0,0,0
Jersey,49.21,-2.13,Europe,33718,31279.454,1834,1701.362,304,106,98.334,3,2.783,0
United Republic of Tanzania,-6,35,Africa,33436,55.975,516,0.864,0,792,1.326,14,0.023,0
Aruba,12.5,-69.9667,Americas,33406,31288.987,260,243.523,29,196,183.579,3,2.81,0
Bahamas,24.25,-76,Americas,32871,8358.932,226,57.471,69,756,192.247,8,2.034,3
Guam,13.4667,144.7833,Western Pacific,32735,19395.645,4498,2665.087,568,305,180.714,9,5.333,2
Lesotho,-29.5,28.5,Africa,32372,1511.122,114,5.322,22,696,32.489,2,0.093,1
Mali,17,-4,Africa,30228,149.268,127,0.627,0,715,3.531,0,0,0
Haiti,19,-72.4167,Americas,29549,259.144,0,0,0,804,7.051,0,0,0
Faroe Islands,62,-7,Europe,27000,55254.272,4700,9618.336,712,22,45.022,3,6.139,0
Benin,9.5,2.25,Africa,26552,219.018,54,0.445,54,163,1.345,0,0,0
Somalia,10,49,Eastern Mediterranean,26203,164.869,136,0.856,0,1340,8.431,5,0.031,0
Congo,-1,15,Africa,23860,432.396,130,2.356,0,375,6.796,0,0,0
Isle of Man,54.23,-4.55,Europe,21989,25859.676,292,343.4,38,77,90.554,4,4.704,4
Saint Lucia,13.8833,-61.1333,Americas,21831,11888.775,631,343.631,63,342,186.247,9,4.901,0
Timor-Leste,-8.55,125.5167,South-East Asia,21401,1623.2,1161,88.058,243,123,9.329,1,0.076,1
Burkina Faso,13,-2,Africa,20696,99.008,23,0.11,0,375,1.794,3,0.014,0
Brunei Darussalam,4.5,114.6667,Western Pacific,19473,4451.185,2582,590.2,628,59,13.486,0,0,0
New Zealand,-41,174,Western Pacific,18936,392.681,2035,42.2,478,53,1.099,0,0,0
Tajikistan,39,71,Europe,17765,186.262,32,0.336,6,125,1.311,0,0,0
South Sudan,8,30,Africa,16880,150.799,47,0.42,7,137,1.224,0,0,0
Cayman Islands,19.5,-80.5,Americas,15934,24245.283,0,0,0,16,24.346,0,0,0
Equatorial Guinea,2,10,Africa,15853,1129.948,25,1.782,8,182,12.972,0,0,0
Djibouti,11.5,43,Eastern Mediterranean,15527,1571.559,35,3.543,0,189,19.13,0,0,0
"Virgin Islands, British",18.5,-64.5,Americas,15128,14486.952,193,184.822,0,104,99.593,2,1.915,0
Gibraltar,36.1833,-5.3667,Europe,14168,42052.774,774,2297.349,129,101,299.783,0,0,0
Central African Republic,7,21,Africa,14154,293.058,131,2.712,44,111,2.298,1,0.021,1
San Marino,43.7667,12.4167,Europe,13861,40842.124,406,1196.299,9,110,324.12,1,2.947,0
Nicaragua,13,-85,Americas,13792,208.195,65,0.981,0,222,3.351,1,0.015,0
Grenada,12.1167,-61.6667,Americas,13102,11643.842,404,359.038,61,212,188.406,1,0.889,0
Guernsey,49.5,-2.56,Europe,12300,19079.233,711,1102.873,94,31,48.086,0,0,0
Gambia,13.4667,-16.5667,Africa,11911,492.869,31,1.283,0,365,15.103,1,0.041,0
Yemen,15,48,Eastern Mediterranean,11604,38.906,417,1.398,0,2093,7.017,73,0.245,0
Greenland,72,-40,Europe,11409,20096.174,384,676.39,76,7,12.33,1,1.761,0
Bermuda,32.3333,-64.75,Americas,11108,17837.586,229,367.736,50,120,192.7,3,4.817,1
Liechtenstein,47.1667,9.5333,Europe,10411,26869.177,749,1933.053,0,70,180.659,0,0,0
Dominica,15.4167,-61.3333,Americas,10000,13890.625,968,1344.613,0,51,70.842,0,0,0
Eritrea,15,39,Africa,9660,272.387,59,1.664,8,102,2.876,3,0.085,0
Monaco,43.7333,7.4,Europe,8956,22821.323,319,812.863,34,49,124.86,1,2.548,0
Niger,16,8,Africa,8703,35.953,37,0.153,3,303,1.252,2,0.008,0
Saint Vincent and the Grenadines,13.25,-61.2,Americas,8144,7340.905,109,98.251,0,99,89.237,4,3.606,0
Comoros,-12.1667,44.25,Africa,7978,917.432,134,15.409,0,160,18.399,0,0,0
Guinea-Bissau,12,-15,Africa,7820,397.358,71,3.608,7,158,8.028,0,0,0
Sierra Leone,8.5,-11.5,Africa,7628,95.625,5,0.063,0,125,1.567,0,0,0
Liberia,6.5,-9.5,Africa,7358,145.482,86,1.7,0,290,5.734,0,0,0
Antigua and Barbuda,17.05,-61.8,Americas,7321,7475.824,589,601.456,468,134,136.834,7,7.148,3
Chad,15,19,Africa,7216,43.931,59,0.359,0,190,1.157,0,0,0
Northern Mariana Islands ,15.2,145.75,Western Pacific,7010,12179.231,1435,2493.181,226,23,39.96,0,0,0
Bhutan,27.5,90.5,South-East Asia,6964,902.531,1244,161.222,185,5,0.648,1,0.13,0
"Virgin Islands, British",18.5,-64.5,Americas,5928,19605.12,0,0,0,61,201.74,10,33.072,3
Sao Tome and Principe,1,7,Africa,5916,2699.41,9,4.107,3,71,32.397,1,0.456,0
Turks and Caicos Islands,21.75,-71.5833,Americas,5806,14995.609,36,92.98,0,35,90.397,1,2.583,0
Saint Kitts and Nevis,17.3333,-62.75,Americas,5492,10324.861,39,73.319,4,39,73.319,2,3.76,1
Solomon Islands,-8,159,Western Pacific,4203,611.894,1846,268.75,229,50,7.279,29,4.222,10
Palau,7.5,134.5,Western Pacific,3045,16830.643,930,5140.394,89, -   ,0,0,0,0
Anguilla,18.25,-63.1667,Americas,2458,16384.482,97,646.58,22,9,59.992,1,6.666,0
Kiribati,1.4167,173,Western Pacific,2235,1871.091,1322,1106.748,62,2,1.674,2,1.674,1
Saint Pierre and Miquelon,46.8333,-56.3333,Americas,921,15893.011,93,1604.832,0,1,17.256,0,0,0
Wallis and Futuna,-13.3,-176.2,Western Pacific,453,4028.099,0,0,0,7,62.244,0,0,0
Montserrat,16.75,-62.2,Americas,163,3260.652,0,0,0,2,40.008,1,20.004,0
Falkland Islands (Malvinas),-51.75,-59,Americas,98,2813.666,7,200.976,7,0,0,0,0,0
Tonga,-20,-175,Western Pacific,73,69.067,66,62.444,7,0,0,0,0,0
American Samoa,-14.3333,-170,Western Pacific,57,103.266,22,39.857,0,0,0,0,0,0
Samoa,-13.5833,-172.3333,Western Pacific,33,16.632,0,0,0,0,0,0,0,0
Holy See (Vatican City State),41.9,12.45,Europe,26,3213.844,0,0,0,0,0,0,0,0
Vanuatu,-16,167,Western Pacific,7,2.279,0,0,0,0,0,0,0,0
Marshall Islands,9,168,Western Pacific,4,6.757,0,0,0,0,0,0,0,0
Cook Islands,-21.2333,-159.7667,Western Pacific,0,0,0,0,0,0,0,0,0,0
"Korea, Democratic People's Republic of",40,127,South-East Asia,0,0,0,0,0,0,0,0,0,0
Micronesia (Federated States of),6.9167,158.25,Western Pacific,0,0,0,0,0,0,0,0,0,0
Nauru,-0.5333,166.9167,Western Pacific,0,0,0,0,0,0,0,0,0,0
Niue,-19.0333,-169.8667,Western Pacific,0,0,0,0,0,0,0,0,0,0
Pitcairn Islands,-24.7,-127.4,Western Pacific,0,0,0,0,0,0,0,0,0,0
Saint Helena,-15.9333,-5.7,Africa,0,0,0,0,0,0,0,0,0,0
Tokelau,-9,-172,Western Pacific,0,0,0,0,0,0,0,0,0,0
Turkmenistan,40,60,Europe,0,0,0,0,0,0,0,0,0,0
Tuvalu,-8,178,Western Pacific,0,0,0,0,0,0,0,0,0,0
